Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Sep-20 09:00:00,1.140620894920068,64.79212385093291,38.95569380822942,42.90068655843632,35.23071589922989,35.496779283265596,40.05839958456148,35.36235536327941,99.76541278155106,23.9971117917466,23.999892316973263,23.998041526369438,24.157738865870787,23.99982578718495,23.999452161889568,23.998031996888475
2006-Sep-20 10:00:00,0.9816562706613469,60.653223862345534,40.743649406148016,46.43031703108289,35.08493248129559,35.5200488396166,41.09212848065864,35.395598704827094,103.43103007393528,23.995235467710447,23.999770816438744,23.997499467798907,24.26364890643208,23.999529423751415,23.998918619791294,24.008841772588173
2006-Sep-20 11:00:00,0.8983341483269761,54.36391133472438,42.67284984072595,49.21072248662099,34.371365330257625,35.57120547756881,42.25952118935268,34.30434640614456,105.96480669933703,23.995044191519792,23.999555018651275,23.996366921638113,24.63461698858129,23.999265183544477,23.998089159835416,24.56483746063108
2006-Sep-20 12:00:00,0.8414749356022684,49.60193198095845,44.11934251131628,50.96546525685941,33.584705846314,35.60951971364943,43.17109226899052,32.77402849996974,107.85379924672738,23.993124018621753,23.99929596904055,23.99584067038951,25.029169778499163,23.99890267303226,23.99693221280475,25.35080393067616
2006-Sep-20 13:00:00,1.1148734972425223,48.905503680951234,44.062022665601695,48.30431052869724,32.99394102059811,35.56321432689149,43.14042284211925,31.892159026030694,99.76685077792202,23.993391765678215,23.999843244579306,23.997116287209664,25.237079254817093,23.999632554884016,23.997969824547685,25.756225177874445
2006-Sep-20 14:00:00,0.8042210918852102,47.42561978139747,43.919275626418234,49.35091946539873,31.9201081820121,35.41282814343505,43.20380079729612,31.764317515467024,109.11140104171021,23.992857220047465,23.999736283666692,23.996590233691446,25.571563645786032,23.99946764025634,23.99816406883888,25.687959241213395
2006-Sep-20 15:00:00,0.7486795584023224,49.68370504947372,44.449133650572406,50.46158355227263,30.777117505543895,35.20091106001539,43.617354029859705,32.39485323972943,111.08274415591887,23.993299967281512,23.999421944200552,23.99618076318681,25.85423848673103,23.998691867478595,23.99718867789554,25.24723959013389
2006-Sep-20 16:00:00,0.7092833985921002,53.0537944934257,44.66353937545801,50.93067887692998,29.816333138519735,34.96977433939894,43.82471036268142,33.387979100287225,112.56701519496193,23.995715123026596,23.99939702771898,23.996615745449876,26.0207373217,23.998539204059472,23.99726675857285,24.640279110037415
2006-Sep-20 17:00:00,0.6799525993744747,56.23114960537978,45.78853048561575,52.1133221186306,30.59855629055544,35.122403026042306,44.522662196355206,34.58465988921278,113.83626379653715,23.99539920675569,23.999203550169213,23.997947817313218,26.073431153812944,23.998264337397114,23.9982530122639,24.14907067598944
2006-Sep-20 18:00:00,0.8395598875491143,59.53671177555636,47.74280997047783,55.29227255587841,33.109721683147654,35.86137791652815,45.95410454221042,36.48727808005651,107.71222619777036,23.996428432228843,23.999547020826853,23.996258360177013,25.979590534044235,23.99921350018494,23.998722020096128,23.996671885664195
2006-Sep-20 19:00:00,1.6322518755975193,61.502688031324816,47.50377148860946,51.45510796128186,34.71492957563883,36.35180567798924,45.991228599864826,37.419125000197845,89.52351594607562,23.99782536305146,23.99992976228303,23.998106290698985,25.704832209074088,23.999527391827012,23.999289527710218,23.997625215975294
2006-Sep-20 20:00:00,1.8828461445658924,61.87340318712919,47.18178010021281,50.028643327758,36.918346393269125,37.08920013415287,46.010419522475225,38.296056797727424,85.80033378621864,23.997751938072625,23.999946775029127,23.999249673241394,25.504550930313133,23.999493466178535,23.999545286056307,23.99776870853232
2006-Sep-20 21:00:00,2.0506844963632633,61.85761935501452,48.184459957449455,50.42500947080503,40.36434756159472,38.24124683358218,46.774527076894124,39.52779004594672,83.89623650081222,23.998966695044093,23.99995851224548,23.99768733068625,25.298966088475407,23.999251641375057,23.999021279950668,23.997592583305174
2006-Sep-20 22:00:00,2.1737875297901863,61.84763806004205,47.70439462881007,49.75935090431722,40.87049981011364,38.53693506487726,46.64052299464729,39.756107585048994,82.51409333874943,23.999438297660593,23.999960530420864,23.99826521687143,25.19825047343494,23.999479317708516,23.998969935904526,23.9984205345586
2006-Sep-20 23:00:00,2.29301296509755,61.850491707080344,47.75613453698065,49.690988718343455,41.55225973582595,38.73921475125563,46.706039366127165,39.936744352043746,81.23590463091487,23.99783584182819,23.999968027081668,23.99882297370335,25.08101105208475,23.99965566131169,23.999371961837795,23.998590232873976
2006-Sep-21 00:00:00,2.4109038435544217,61.845312392297224,47.88412080927253,49.67934643433722,42.38938645711921,38.962034825108105,46.80500964011662,40.135377602249946,80.05512309067885,23.998446415670966,23.99997524480314,23.999267158207598,24.93752043642567,23.999776813768264,23.99963641014941,23.99795050655922
2006-Sep-21 01:00:00,2.5531520939649717,61.83913582785848,47.89106819021409,49.55361843966819,42.958009799085175,39.15053560265474,46.8456916574583,40.315742095944564,78.69512635154494,23.99908483323396,23.999981122051746,23.999513515591975,24.82147091042116,23.99921848234902,23.99979625119019,23.998681480833785
2006-Sep-21 02:00:00,2.6714428308345806,61.83400547696615,47.77671554799401,49.34563377852504,43.358804989897756,39.297816051834054,46.82364798139337,40.43739190360389,77.632029643761,23.99945348370984,23.999981275873186,23.99966347392896,24.70774337267967,23.99934599822451,23.999856295784255,23.999134485634514
2006-Sep-21 03:00:00,2.787176420329752,61.828974199116224,47.53630251106105,49.03825175611087,43.55182061254144,39.401818635694845,46.73591308956893,40.51607219240871,76.63567796929387,23.999688397204988,23.999982415002012,23.99976076127322,24.60339273662423,23.999499317314278,23.999815342249022,23.999428122819182
2006-Sep-21 04:00:00,2.901924311761176,61.82467038340576,47.235978934946864,48.686111487245235,43.64586212046203,39.481331554636405,46.61505153192159,40.57299399435555,75.68911055045955,23.999660938378838,23.999983827219182,23.99969884337662,24.50045525692494,23.999613599646505,23.99925435952764,23.999013051767378
